oec_index,env_index,prtvtfch
3.25,3.16,1
2.1675,1.4,1
3.75,2.76,1
2.5825,1.96,1
3.25,1.76,1
1.8325,1.72,1
2.9175,2.6,1
3.4175,2.8,1
3.1675,2.12,1
2.75,1.4,1
2.9175,1.8,1
2.6675,1.76,1
4,3.04,1
3.4175,2.52,1
2.9175,2,1
3.75,2.72,1
4,3.16,1
2.9175,2.68,1
2.6675,2.72,1
5,3.92,1
4.75,3.2,1
2.9175,2.72,1
3.1675,1.2,1
3.25,2.12,1
3.4175,3.12,1
2.9175,2.36,1
2.9175,2.36,1
2.5825,2,1
2.3325,2.16,1
2.3325,2.36,1
3,1.6,1
3.1675,1.92,1
3.25,2.52,1
3.1675,2.6,1
3.0825,2.16,1
2.5825,1.8,1
3.5,2.56,1
2.3325,2.16,1
3.4175,3.56,1
2.5825,3,1
3.75,2.6,1
4.1675,2.4,1
4.25,2.56,1
2.3325,2.4,1
2.9175,2.36,1
3.5,3.44,1
2.3325,1.8,1
4,1.6,1
3.3325,3.56,1
3.0825,2.4,1
3,1.96,1
2.25,2.76,1
2.4175,2.16,1
2.6675,2,1
3.25,1.6,1
3.0825,2.4,1
2.9175,2.36,1
3.25,2.16,1
3.75,2.6,1
3.0825,2.8,1
3.4175,2.36,1
4.5,2.2,1
3.1675,3.24,1
2.1675,1.8,1
2.5,2.16,1
2,1.6,1
3.4175,2.6,1
2.75,2.68,1
3.4175,1.96,1
3.4175,2,1
2.75,2.16,1
3.75,2.96,1
3.25,2,1
1.75,1.8,1
2.9175,2.32,1
4,2.76,1
2.4175,2.36,1
2.6675,1.76,1
4.1675,2.96,1
2.9175,2.16,1
3.4175,2.56,1
2.6675,1.96,1
3.0825,2.8,1
2.5825,3.52,1
4,2.92,1
2.75,2.56,1
3.1675,2,1
3.4175,3,1
4.25,2.56,1
3.4175,3.12,1
2.4175,2.32,1
2.9175,2.36,1
3.5,2.16,1
3.5,2.92,1
3.4175,1.96,1
2.8325,2,1
2.4175,2.32,1
2.6675,2.36,1
3.75,1.8,1
3.25,2.72,1
3,2.16,1
4.5,2.56,1
4,2.96,1
2.8325,3.16,1
3.4175,2.16,1
3.4175,2.12,1
3.4175,2.2,1
2.9175,2,1
3.75,2.32,1
2.9175,2.16,1
2.9175,1.96,1
3.25,1.6,1
3.6675,2.16,1
3.1675,2.92,1
2.4175,2.2,1
2.9175,2,1
4,2.76,1
3.4175,2.96,1
3.0825,3.68,1
3.75,3.12,1
2.5825,2.36,1
2.5825,2.16,1
3.1675,2,1
4.25,3.48,1
2.9175,2.16,1
2.75,1.8,1
2.9175,2.72,1
3.75,2.16,1
3.25,1.76,1
2.8325,3.08,1
3.25,2.2,1
3.1675,2.72,1
3.0825,2.4,1
2.8325,2.52,1
2.9175,2.56,1
2.75,1.4,2
2.1675,2,2
2.4175,1.6,2
2.8325,2,2
2.9175,2.88,2
1.3325,1.2,2
1.8325,1.52,2
1.5825,1.36,2
2.0825,1.56,2
1.9175,1.8,2
2.3325,2,2
1.8325,1.96,2
1.75,1.2,2
1.8325,2.2,2
2.5825,1.6,2
2.6675,2.56,2
1.8325,1.96,2
2.0825,1.96,2
1.8325,1.56,2
2.3325,2,2
2.4175,1.56,2
1.8325,1.56,2
1.8325,1.6,2
2.9175,2,2
4,2.56,2
2.6675,2.56,2
1.3325,1.76,2
3.1675,2.4,2
2.0825,1.2,2
2.0825,1.4,2
2.9175,1.96,2
2.9175,2.96,2
3.4175,2.36,2
2.6675,1.92,2
2.0825,2,2
1.8325,1.76,2
1.5,1.56,2
2,4.08,2
3.4175,2.4,2
2.4175,2.52,2
2.3325,1.76,2
